Date,Heure,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovred,New_Recovred,Eliminated_Cases,N_tests,Active_Cases,Tot_Cases/1M_pop,Deaths/1M_pop,Tanger_Tetouan_Al-Hoceima,Oriental,Fes_Meknes,Rabat_Sale_Kenitra,Beni-Mellal_Khenifra,Casablanca_Settat,Marrakech_Safi,Draa_Tafilalet,Sous_Massa,Guelmim_Oued-Noun,Laayoune_Saguia-al-Hamra,Ed-Dakhla_Oued-ed-Dahab,Source1,Source2,Source3
02/03/2020,18:00:00,1,1,0,0,0,0,28,29,1,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,http://www.covidmaroc.ma/,,
03/03/2020,18:00:00,1,0,0,0,0,0,32,4,1,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,http://www.covidmaroc.ma/,,
04/03/2020,18:00:00,1,0,0,0,0,0,34,2,1,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,http://www.covidmaroc.ma/,,
05/03/2020,18:00:00,2,1,0,0,0,0,40,7,2,0.1,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,http://www.covidmaroc.ma/,,
06/03/2020,18:00:00,2,0,0,0,0,0,50,10,2,0.1,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,http://www.covidmaroc.ma/,,
07/03/2020,18:00:00,2,0,0,0,0,0,55,5,2,0.1,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,http://www.covidmaroc.ma/,,
08/03/2020,18:00:00,2,0,0,0,0,0,NA,NA,2,0.1,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,,
09/03/2020,09:00:00,2,0,0,0,0,0,60,NA,2,0.1,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,http://www.covidmaroc.ma/,,
10/03/2020,09:00:00,3,1,0,0,0,0,63,4,3,0.1,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,http://www.covidmaroc.ma/,,
11/03/2020,18:00:00,6,3,1,1,0,0,78,18,5,0.2,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,http://www.covidmaroc.ma/,,
12/03/2020,18:00:00,6,0,1,0,0,0,NA,NA,5,0.2,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,,
13/03/2020,09:00:00,7,1,1,0,0,0,94,NA,6,0.2,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,http://www.covidmaroc.ma/,,
14/03/2020,21:00:00,17,10,1,0,1,1,NA,NA,15,0.5,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,http://bit.ly/33hbANu,https://bit.ly/39U3ehs,
15/03/2020,09:00:00,28,11,1,0,1,0,122,NA,26,0.8,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,http://www.covidmaroc.ma/,,
16/03/2020,18:00:00,37,9,1,0,1,0,NA,NA,35,1.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,http://bit.ly/33rNCzk,,
17/03/2020,21:27:00,44,7,2,1,1,0,NA,NA,41,1.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,http://bit.ly/2Wk3UIK,,
18/03/2020,20:00:00,54,10,2,0,1,0,263,NA,51,1.5,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,http://www.covidmaroc.ma/,,
19/03/2020,21:00:00,63,9,2,0,2,1,307,53,59,1.8,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,http://www.covidmaroc.ma/,,
20/03/2020,22:00:00,79,16,3,1,2,0,385,94,74,2.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,http://www.covidmaroc.ma/,,
21/03/2020,20:30:00,96,17,3,0,3,1,441,73,90,2.7,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,http://www.covidmaroc.ma/,,
22/03/2020,20:30:00,115,19,4,1,3,0,512,90,108,3.2,0.1,7,5,24,29,3,26,13,1,6,1,0,0,http://www.covidmaroc.ma/,,
23/03/2020,18:00:00,143,28,4,0,5,2,643,159,134,4.0,0.1,9,7,35,32,3,34,15,1,6,1,0,0,http://www.covidmaroc.ma/,,
24/03/2020,18:00:00,170,27,5,1,6,1,685,69,159,4.8,0.1,11,7,36,40,4,42,22,1,6,1,0,0,http://www.covidmaroc.ma/,,
25/03/2020,18:00:00,255,85,6,1,7,1,740,140,242,7.1,0.2,15,7,50,45,6,59,32,2,8,1,0,0,http://www.covidmaroc.ma/,,
26/03/2020,18:00:00,275,20,10,4,8,1,931,211,257,7.7,0.3,16,7,51,50,7,87,43,3,10,1,0,0,http://www.covidmaroc.ma/,,
27/03/2020,21:00:00,345,70,23,13,11,3,1423,562,311,9.7,0.6,23,12,63,56,10,107,57,5,11,1,0,0,http://www.covidmaroc.ma/,,
28/03/2020,23:00:00,402,57,25,2,12,1,1574,208,365,11.2,0.7,29,14,72,72,10,117,70,6,11,1,0,0,http://www.covidmaroc.ma/,,
29/03/2020,21:00:00,479,77,26,1,13,1,1794,297,440,13.4,0.7,36,16,87,84,12,139,82,8,14,1,0,0,http://www.covidmaroc.ma/,,
30/03/2020,21:00:00,556,77,33,7,15,2,2195,478,508,15.6,0.9,39,22,92,97,17,164,99,8,17,1,0,0,http://www.covidmaroc.ma/,,
31/03/2020,21:00:00,617,61,36,3,24,9,2462,328,557,17.3,1.0,41,26,114,105,18,176,108,11,17,1,0,0,http://www.covidmaroc.ma/,,
01/04/2020,21:00:00,654,37,39,3,29,5,2691,266,586,18.3,1.1,45,29,110,113,21,181,115,20,17,1,2,0,http://www.covidmaroc.ma/,,
02/04/2020,21:00:00,708,54,44,5,31,2,2916,279,633,19.8,1.2,47,35,113,115,23,207,127,20,18,1,2,0,http://www.covidmaroc.ma/,,
03/04/2020,18:00:00,761,53,47,3,56,25,3062,199,658,21.3,1.3,48,38,117,116,23,217,130,24,19,1,2,0,http://www.covidmaroc.ma/,,
